ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-12,5877.953987708301,-49.73080095364877,12935.849225292732,5877.953987708301,5877.953987708301,642.0742215631959,642.0742215631959,642.0742215631959,642.0742215631959,642.0742215631959,642.0742215631959,0.0,0.0,0.0,6520.028209271497
2023-11-13,5877.58551161946,-548.8387955827825,12199.835712673448,5877.58551161946,5877.58551161946,-83.1167771501062,-83.1167771501062,-83.1167771501062,-83.1167771501062,-83.1167771501062,-83.1167771501062,0.0,0.0,0.0,5794.468734469354
2023-11-15,5876.848559441776,-654.5790133161172,11281.075440697128,5876.848559441776,5876.848559441776,-199.95111421010927,-199.95111421010927,-199.95111421010927,-199.95111421010927,-199.95111421010927,-199.95111421010927,0.0,0.0,0.0,5676.897445231667
2023-11-16,5876.480083352935,-805.8466407303038,12168.75105244159,5876.480083352935,5876.480083352935,42.12684976808852,42.12684976808852,42.12684976808852,42.12684976808852,42.12684976808852,42.12684976808852,0.0,0.0,0.0,5918.606933121024
2023-11-19,5875.374655086411,387.50272758816254,12875.763313070334,5875.374655086411,5875.374655086411,642.0742215636285,642.0742215636285,642.0742215636285,642.0742215636285,642.0742215636285,642.0742215636285,0.0,0.0,0.0,6517.448876650039
2023-11-20,5875.00617899757,-250.6197644497929,11894.87340073002,5875.00617899757,5875.00617899757,-83.1167771479997,-83.1167771479997,-83.1167771479997,-83.1167771479997,-83.1167771479997,-83.1167771479997,0.0,0.0,0.0,5791.88940184957
2023-11-21,5874.637702908728,-868.8226349106535,11707.286386062668,5874.637702908728,5874.637702908728,-604.2459510544558,-604.2459510544558,-604.2459510544558,-604.2459510544558,-604.2459510544558,-604.2459510544558,0.0,0.0,0.0,5270.391751854272
2023-11-22,5874.269226819886,-632.8943714688036,11425.836421383123,5874.269226819886,5874.269226819886,-199.95111420942328,-199.95111420942328,-199.95111420942328,-199.95111420942328,-199.95111420942328,-199.95111420942328,0.0,0.0,0.0,5674.318112610463
2023-11-23,5873.900750731045,-250.80938719987338,12236.704622304027,5873.900750731045,5873.900750731045,42.126849768674845,42.126849768674845,42.126849768674845,42.126849768674845,42.126849768674845,42.126849768674845,0.0,0.0,0.0,5916.02760049972
2023-11-24,5873.532274642203,-186.55570852419717,12012.659437848964,5873.532274642203,5873.532274642203,147.32999896313044,147.32999896313044,147.32999896313044,147.32999896313044,147.32999896313044,147.32999896313044,0.0,0.0,0.0,6020.862273605334
2023-11-25,5873.163798553362,151.72734130820982,12323.486053375173,5873.163798553362,5873.163798553362,55.78277211888623,55.78277211888623,55.78277211888623,55.78277211888623,55.78277211888623,55.78277211888623,0.0,0.0,0.0,5928.946570672248
2023-11-26,5872.795322464521,490.3036297938741,12712.657897971243,5872.795322464521,5872.795322464521,642.0742215628499,642.0742215628499,642.0742215628499,642.0742215628499,642.0742215628499,642.0742215628499,0.0,0.0,0.0,6514.8695440273705
